                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2018,                 2.5028,                 1.4796,                0.59464,                0.41502,                 0.4176,                0.24978,                 1.3803,                  2.009,                 1.7156,             0.00023772,             0.00023772,             0.00023772
                      2,                   1.33,                 2.0399,                 1.5984,                0.53547,                0.40734,                0.38605,                0.21439,                 1.4733,                 2.0196,                 1.7873,              0.0004663,              0.0004663,              0.0004663
                      3,                 1.3705,                  2.084,                 1.6388,                0.52433,                0.37548,                0.38387,                0.21383,                 1.5477,                 2.0351,                 1.8351,             0.00068546,             0.00068546,             0.00068546
                      4,                 1.3829,                 2.0525,                 1.6467,                0.57001,                0.41587,                0.42322,                0.24556,                 1.5113,                 1.9366,                 1.8251,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.3392,                 1.9579,                 1.6071,                 0.5656,                0.43359,                0.44589,                0.25913,                 1.4433,                 1.7778,                 1.7379,             0.00067159,             0.00067159,             0.00067159
                      6,                  1.302,                  1.861,                  1.584,                0.54096,                0.47445,                0.48808,                0.30595,                 1.3717,                  1.675,                 1.6698,             0.00065745,             0.00065745,             0.00065745
                      7,                  1.266,                  1.782,                 1.5518,                0.65981,                0.48819,                0.52757,                0.33132,                  1.326,                 1.6388,                 1.6318,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.2327,                 1.6986,                 1.5295,                0.67731,                0.51579,                0.58345,                0.36678,                  1.311,                 1.4739,                 1.6216,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.2123,                  1.635,                 1.5104,                0.68661,                0.51427,                0.56688,                0.36296,                 1.2885,                 1.4527,                 1.5969,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.1929,                 1.5863,                 1.4983,                0.54751,                0.58682,                0.57996,                0.36445,                 1.3043,                   1.45,                 1.6072,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.1719,                 1.5398,                  1.484,                0.68669,                0.53008,                  0.586,                0.37644,                 1.2721,                 1.4145,                  1.577,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.1663,                 1.4914,                 1.4724,                0.65868,                0.57768,                0.61495,                 0.3908,                 1.2884,                 1.3659,                 1.5982,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.1611,                 1.4698,                  1.469,                0.65547,                0.58448,                0.63651,                0.41564,                 1.2344,                 1.3372,                 1.5555,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.1376,                 1.4283,                 1.4572,                 0.6604,                 0.6297,                0.65662,                0.42611,                 1.2493,                 1.2819,                 1.5549,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.1227,                   1.39,                 1.4388,                0.67869,                0.63263,                 0.6696,                0.43974,                 1.2223,                 1.2456,                 1.5386,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.0957,                  1.333,                 1.4213,                0.65825,                0.61236,                0.65401,                0.43003,                 1.2144,                 1.2354,                 1.5109,             0.00051608,             0.00051608,             0.00051608
