                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3283,                 3.5715,                 1.6674,                0.50916,                0.34406,                0.32177,                0.18288,                 1.4881,                 2.1685,                 1.8478,             0.00023772,             0.00023772,             0.00023772
                      2,                  1.485,                 2.3431,                 1.8107,                0.44158,                0.35528,                0.31277,                0.17369,                 1.5264,                 2.1745,                 1.8163,             0.00042862,             0.00042862,             0.00042862
                      3,                 1.4888,                  2.251,                 1.8187,                0.48113,                0.39091,                0.35221,                0.20276,                 1.5199,                 2.0699,                 1.8428,              0.0005724,              0.0005724,              0.0005724
                      4,                 1.4494,                 2.1128,                 1.7856,                0.55503,                0.41731,                0.41647,                0.24875,                 1.4367,                 1.8622,                 1.7405,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.3843,                 1.9732,                 1.7304,                0.56595,                0.41747,                0.42778,                0.26093,                 1.4335,                 1.8329,                 1.7505,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.3361,                 1.8143,                 1.6875,                0.64254,                0.47093,                0.52398,                0.33234,                  1.361,                 1.6302,                  1.646,             0.00043126,             0.00043126,             0.00043126
                      7,                  1.264,                 1.6503,                 1.6149,                0.66983,                0.49874,                0.53294,                0.34759,                 1.2858,                  1.519,                 1.6044,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.2033,                 1.4809,                 1.5568,                 0.7115,                0.54658,                0.59609,                0.39511,                 1.2387,                 1.3835,                 1.5493,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.1431,                 1.3492,                 1.5015,                0.73008,                0.53736,                0.62757,                0.42836,                 1.1889,                 1.3277,                 1.5108,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.0839,                 1.2192,                 1.4517,                0.69236,                0.62332,                0.67411,                0.47534,                 1.1561,                 1.2013,                 1.4743,             0.00014851,             0.00014851,             0.00014851
