                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2303,                 3.5809,                 4.1764,                0.00381,                0.47285,                 0.0086,                  0.003,                 2.8818,                 3.6841,                 4.1205,             0.00065152,             0.00065152,             0.00065152
                      2,                 3.1924,                 3.4188,                 3.8668,                0.04111,                0.08371,                0.01939,                0.00512,                 2.9256,                 3.6978,                 3.9052,              0.0012529,              0.0012529,              0.0012529
                      3,                 3.0676,                 3.3991,                 3.6159,                0.01436,                0.06787,                0.00875,                 0.0028,                 2.8322,                 6.8753,                  4.272,              0.0017883,              0.0017883,              0.0017883
                      4,                 2.9658,                 3.3201,                 3.4388,                0.05003,                 0.0543,                0.01839,                0.00537,                 2.7432,                 4.2831,                 3.4261,               0.001703,               0.001703,               0.001703
                      5,                 2.8028,                 3.2521,                 3.2628,                0.03103,                0.19231,                0.01448,                0.00462,                 2.7521,                 11.969,                 3.4611,               0.001703,               0.001703,               0.001703
                      6,                 2.7314,                 3.1314,                 3.1556,                0.08388,                0.09729,                0.02961,                0.00876,                 2.6213,                 8.4262,                 3.3469,               0.001604,               0.001604,               0.001604
                      7,                  2.628,                 3.0886,                 3.1108,                0.13751,                 0.0905,                0.04618,                0.01418,                 2.6057,                 7.7697,                 3.3185,               0.001505,               0.001505,               0.001505
                      8,                 2.5499,                 2.9793,                 3.0103,                 0.0371,                0.21493,                0.02589,                0.00771,                  2.576,                 9.2694,                 3.1922,               0.001406,               0.001406,               0.001406
                      9,                 2.4805,                 2.9372,                 2.9547,                0.08729,                0.15158,                0.06166,                0.02004,                 2.5438,                 3.4314,                 3.1273,               0.001307,               0.001307,               0.001307
                     10,                  2.457,                 2.8495,                 2.9097,                0.40868,                0.11102,                0.14057,                0.04857,                 2.4629,                 3.0849,                 3.0906,               0.001208,               0.001208,               0.001208
                     11,                 2.2852,                 2.8827,                 2.8849,                0.36516,                0.25113,                0.22569,                0.07814,                 2.4042,                 2.9252,                 3.0354,               0.001109,               0.001109,               0.001109
                     12,                 2.2322,                 2.7342,                 2.8486,                0.29489,                0.27828,                0.20542,                0.07773,                 2.3191,                 2.7166,                 2.9392,                0.00101,                0.00101,                0.00101
                     13,                 2.1859,                 2.5993,                 2.8047,                0.33175,                0.30317,                0.23532,                 0.0943,                 2.3346,                 2.6848,                 2.9629,               0.000911,               0.000911,               0.000911
                     14,                 2.1435,                 2.5546,                 2.7664,                0.38577,                0.26713,                  0.272,                0.10683,                 2.2832,                   2.61,                 2.9069,               0.000812,               0.000812,               0.000812
                     15,                 2.1049,                 2.4535,                 2.6963,                0.33581,                0.33515,                0.24555,                0.09746,                 2.2362,                 2.5807,                 2.8518,               0.000713,               0.000713,               0.000713
                     16,                 2.0523,                 2.4736,                 2.6607,                0.46679,                0.30303,                0.30577,                0.12815,                 2.1846,                 2.6017,                 2.8043,               0.000614,               0.000614,               0.000614
                     17,                 2.0221,                  2.381,                 2.6253,                0.45626,                0.31222,                0.32435,                0.13385,                 2.1752,                 2.4325,                  2.779,               0.000515,               0.000515,               0.000515
                     18,                 2.0089,                 2.3283,                  2.591,                0.51517,                0.31974,                0.35711,                0.15728,                 2.1688,                 2.3929,                 2.7546,               0.000416,               0.000416,               0.000416
                     19,                  1.974,                 2.2674,                 2.5816,                 0.5057,                0.33937,                0.35561,                0.15706,                 2.1678,                 2.3688,                 2.7675,               0.000317,               0.000317,               0.000317
                     20,                 1.9586,                 2.2495,                 2.5553,                0.47964,                 0.3733,                0.37783,                0.16228,                  2.145,                 2.3086,                 2.7402,               0.000218,               0.000218,               0.000218
