                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1759,                 3.6032,                 4.1617,                0.00308,                0.66441,                0.03106,                0.00765,                 2.8501,                   3.91,                 4.0578,             0.00065248,             0.00065248,             0.00065248
                      2,                 3.0778,                 3.4897,                 3.8926,                0.01312,                0.43729,                0.01507,                0.00433,                 3.0696,                 5.7446,                 4.0613,              0.0012539,              0.0012539,              0.0012539
                      3,                 2.9193,                 3.4096,                 3.5858,                0.01815,                0.27797,                0.01151,                 0.0031,                 2.8104,                 3.9755,                 3.8495,              0.0017892,              0.0017892,              0.0017892
                      4,                 2.7659,                 3.3426,                 3.3632,                0.04577,                0.14974,                 0.0215,                0.00525,                  2.685,                 4.0212,                 3.7117,               0.001703,               0.001703,               0.001703
                      5,                  2.693,                 3.3235,                 3.2193,                0.02421,                0.41356,                0.01975,                0.00448,                 2.6742,                 4.2899,                 3.3613,               0.001703,               0.001703,               0.001703
                      6,                 2.5892,                 3.2334,                 3.1129,                0.07579,                0.22034,                0.04631,                0.01319,                 2.4724,                 3.9259,                 3.2111,               0.001604,               0.001604,               0.001604
                      7,                 2.5662,                 3.2105,                 3.0812,                0.08633,                 0.2678,                0.08165,                0.02404,                 2.4803,                 3.3443,                 3.2181,               0.001505,               0.001505,               0.001505
                      8,                 2.4971,                   3.13,                 2.9872,                 0.0957,                0.30169,                 0.0699,                0.01997,                 2.3057,                 3.2978,                 3.1912,               0.001406,               0.001406,               0.001406
                      9,                 2.4785,                 3.0275,                 2.9095,                0.13201,                0.22034,                0.09217,                0.02507,                 2.5127,                 3.4268,                  3.132,               0.001307,               0.001307,               0.001307
                     10,                 2.3677,                 2.9025,                 2.8634,                0.16687,                0.16949,                0.09187,                0.02686,                  2.271,                 3.3026,                 2.9774,               0.001208,               0.001208,               0.001208
                     11,                  2.192,                 2.8625,                 2.8614,                0.21657,                0.30169,                0.13493,                0.04507,                 2.2363,                 3.9204,                 2.9533,               0.001109,               0.001109,               0.001109
                     12,                 2.1331,                  2.691,                 2.7993,                0.30537,                0.26102,                 0.1768,                0.07118,                 2.2527,                 3.0215,                 2.9237,                0.00101,                0.00101,                0.00101
                     13,                 2.1389,                 2.6006,                 2.7621,                0.30979,                0.26778,                0.19559,                0.07056,                 2.1844,                 2.9487,                 2.8538,               0.000911,               0.000911,               0.000911
                     14,                 2.0963,                   2.55,                 2.7027,                0.32958,                0.28814,                0.24594,                0.09284,                  2.074,                 2.6302,                 2.7149,               0.000812,               0.000812,               0.000812
                     15,                 2.0618,                  2.488,                 2.6863,                0.40015,                0.36271,                0.30523,                0.10587,                 2.1064,                   2.48,                 2.7388,               0.000713,               0.000713,               0.000713
                     16,                 2.0227,                  2.416,                 2.6348,                0.33771,                0.32203,                0.27563,                0.10137,                 2.0655,                 2.5045,                 2.6902,               0.000614,               0.000614,               0.000614
                     17,                 1.9764,                 2.3597,                 2.5846,                0.39508,                0.33873,                0.27183,                0.10811,                 2.0871,                 2.5978,                 2.6927,               0.000515,               0.000515,               0.000515
                     18,                 1.9769,                 2.3209,                 2.5707,                0.48726,                0.36402,                0.35818,                0.14226,                  2.022,                 2.3525,                 2.6406,               0.000416,               0.000416,               0.000416
                     19,                  1.931,                 2.2464,                 2.5409,                0.42225,                0.37409,                0.34029,                0.13154,                 2.0386,                 2.3625,                 2.6433,               0.000317,               0.000317,               0.000317
                     20,                  1.912,                 2.2476,                  2.518,                0.45067,                0.36949,                0.35215,                0.14369,                 1.9668,                 2.3176,                 2.5898,               0.000218,               0.000218,               0.000218
