                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.125,                 4.4054,                 3.9575,                0.00312,                0.52276,                0.00562,                0.00162,                  2.815,                 4.2269,                 3.7292,             0.00033234,             0.00033234,             0.00033234
                      2,                 2.4259,                 4.0259,                 3.0164,                0.36073,                0.04493,                0.01692,                0.00559,                 2.3078,                 3.9668,                  3.085,             0.00062173,             0.00062173,             0.00062173
                      3,                 2.0251,                 3.5682,                 2.5662,                0.22964,                0.03998,                 0.0374,                0.01485,                 2.0536,                 3.5124,                 2.7891,             0.00086713,             0.00086713,             0.00086713
                      4,                 1.8821,                 3.3348,                 2.4095,                0.30329,                0.14711,                0.08341,                0.03554,                 1.9857,                 3.3385,                 2.6909,               0.000802,               0.000802,               0.000802
                      5,                 1.8144,                 3.1545,                 2.3167,                0.30416,                0.16805,                0.12175,                0.05655,                 1.9001,                 3.1597,                 2.5414,               0.000802,               0.000802,               0.000802
                      6,                 1.7853,                 3.0032,                 2.4066,                0.17108,                0.17801,                0.12061,                 0.0543,                 1.9841,                 3.0698,                  2.569,               0.000736,               0.000736,               0.000736
                      7,                  1.726,                 2.8244,                  2.323,                0.28147,                0.24528,                0.21498,                0.09657,                 1.8174,                  2.735,                  2.474,                0.00067,                0.00067,                0.00067
                      8,                 1.6689,                 2.7183,                 2.2602,                0.33652,                  0.311,                0.24579,                0.12184,                 1.7852,                 2.6693,                 2.3825,               0.000604,               0.000604,               0.000604
                      9,                 1.6358,                 2.6464,                 2.2338,                0.31316,                0.31247,                0.25538,                0.13297,                 1.7715,                 2.5342,                 2.3308,               0.000538,               0.000538,               0.000538
                     10,                 1.5937,                 2.5369,                 2.1771,                0.30695,                0.32211,                0.28965,                0.15336,                 1.6503,                 2.4857,                 2.2223,               0.000472,               0.000472,               0.000472
                     11,                 1.5618,                  2.464,                 2.1494,                0.36359,                0.33154,                0.30314,                 0.1677,                 1.5855,                   2.51,                 2.1623,               0.000406,               0.000406,               0.000406
                     12,                 1.5233,                 2.4019,                 2.1159,                0.34606,                0.36033,                0.33787,                0.18754,                  1.602,                 2.3112,                 2.1689,                0.00034,                0.00034,                0.00034
                     13,                 1.5004,                 2.3278,                 2.0865,                0.37104,                 0.3873,                 0.3442,                0.19972,                 1.5714,                  2.234,                 2.1606,               0.000274,               0.000274,               0.000274
                     14,                 1.4758,                 2.2661,                 2.0631,                0.44052,                  0.391,                0.36938,                0.21715,                 1.5435,                 2.1988,                 2.1174,               0.000208,               0.000208,               0.000208
                     15,                 1.4471,                 2.1919,                 2.0301,                0.42682,                0.38222,                0.39682,                 0.2386,                 1.5356,                 2.1253,                 2.0932,               0.000142,               0.000142,               0.000142
