                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1297,                 1.9907,                 1.5136,                0.53467,                0.34634,                0.36305,                0.19104,                 1.6241,                 2.7621,                 2.0351,             0.00065778,             0.00065778,             0.00065778
                      2,                 1.5317,                 1.9062,                 1.8126,                0.18353,                0.25854,                0.12748,                0.04963,                 2.5589,                 2.8289,                 2.9847,              0.0012982,              0.0012982,              0.0012982
                      3,                 1.6796,                 2.0668,                 1.9121,                0.11959,                0.25854,                0.08667,                0.02601,                 2.4719,                 4.6955,                  3.199,              0.0019123,              0.0019123,              0.0019123
                      4,                 1.7267,                 2.1542,                 1.9636,                0.00949,                0.45366,                0.00672,                0.00231,                 2.7282,                 145.37,                 3.1453,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6804,                 2.0596,                 1.8995,                0.19422,                0.43902,                0.14192,                0.04934,                 1.9734,                 3.3693,                 2.4099,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.6257,                 1.9755,                 1.8842,                0.04534,                 0.4439,                0.03463,                0.01329,                 2.1267,                 21.195,                 2.6039,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.6124,                 1.9895,                 1.8896,                0.22665,                0.32683,                0.19388,                0.07446,                  2.042,                 3.7072,                 2.6776,               0.001802,               0.001802,               0.001802
                      8,                   1.55,                 1.9597,                  1.849,                0.38216,                0.50087,                0.40113,                0.17137,                 1.8112,                 2.3055,                 2.2827,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.5318,                 1.8606,                 1.8263,                0.41573,                0.38181,                0.32137,                 0.1313,                 1.9542,                 2.1864,                 2.2976,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4915,                 1.8213,                 1.7633,                0.53618,                0.42858,                0.47945,                0.22111,                 1.7523,                 1.8853,                 2.1787,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.4592,                 1.7766,                 1.7562,                0.51305,                    0.4,                0.41733,                0.19265,                 1.8204,                 1.9762,                 2.2092,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.4967,                  1.841,                 1.7827,                0.44381,                0.50244,                0.41911,                0.16237,                 1.8209,                  2.311,                  2.323,               0.001604,               0.001604,               0.001604
                     13,                 1.4066,                 1.8315,                 1.7209,                0.51472,                0.49756,                0.44733,                0.20095,                 1.7745,                 1.9917,                 2.1766,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.3787,                 1.6885,                  1.709,                0.60577,                 0.4878,                0.52433,                0.26404,                 1.5917,                 1.7281,                 1.9504,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3726,                 1.6366,                 1.7116,                0.45196,                0.47805,                0.43957,                0.23134,                 1.6269,                 1.8285,                 1.9984,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3325,                 1.6453,                 1.6789,                0.62638,                 0.5561,                0.56009,                0.27589,                 1.5587,                 1.7804,                 1.9855,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.3566,                 1.6534,                 1.7014,                0.56446,                0.54146,                0.55301,                0.27335,                 1.7127,                  1.639,                 2.0569,               0.001406,               0.001406,               0.001406
                     18,                 1.2977,                 1.5573,                 1.6279,                0.62434,                0.56098,                0.56843,                0.29774,                 1.5511,                 1.7485,                 1.9475,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2822,                   1.53,                 1.6098,                0.73057,                0.54231,                0.64228,                 0.3541,                 1.4577,                 1.5669,                 1.8741,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2461,                 1.5107,                 1.5893,                0.67713,                0.56098,                0.61773,                0.34023,                 1.4106,                 1.5091,                 1.8116,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2733,                 1.5342,                 1.6134,                0.60222,                0.54146,                0.55859,                0.30365,                 1.5267,                 1.6526,                 1.9268,              0.0012476,              0.0012476,              0.0012476
                     22,                  1.277,                 1.5606,                 1.6231,                0.64955,                0.56098,                 0.5833,                0.29744,                 1.5415,                  1.701,                 1.9415,               0.001208,               0.001208,               0.001208
                     23,                 1.2548,                 1.5153,                 1.5959,                0.65895,                0.55122,                0.59021,                0.34337,                  1.461,                 1.5738,                 1.8815,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.2124,                 1.4506,                 1.5792,                0.67315,                0.65366,                0.66178,                0.35449,                  1.456,                 1.5418,                 1.8921,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1731,                 1.4086,                 1.5512,                0.75041,                0.58666,                0.65048,                0.37817,                 1.3967,                 1.4243,                 1.8712,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1663,                 1.3639,                 1.5534,                0.65669,                0.59024,                0.62872,                0.34496,                 1.4577,                 1.4885,                 1.8873,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.1534,                 1.3341,                 1.5841,                0.62955,                    0.6,                0.61647,                0.32499,                 1.4633,                 1.4949,                 1.9107,                0.00101,                0.00101,                0.00101
                     28,                 1.1825,                 1.3774,                 1.5517,                 0.6116,                0.60976,                 0.6321,                 0.3816,                 1.3315,                 1.4448,                 1.7651,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.1294,                 1.3622,                 1.5226,                0.61065,                0.58537,                 0.5933,                0.33707,                  1.362,                 1.5587,                  1.786,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.1358,                 1.3503,                 1.5043,                0.73497,                0.53171,                0.64382,                0.37688,                 1.3473,                 1.4343,                 1.7747,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.0485,                 1.2654,                 1.4592,                0.68657,                0.59512,                0.67257,                0.36996,                 1.3819,                 1.3902,                 1.7858,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.0734,                 1.2099,                 1.4819,                0.64947,                0.61463,                0.63397,                0.35962,                 1.3632,                 1.3831,                 1.7644,               0.000812,               0.000812,               0.000812
                     33,                 1.0907,                 1.2264,                 1.4947,                0.62375,                 0.6439,                0.61863,                0.35747,                  1.411,                 1.3553,                 1.8466,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0781,                  1.231,                 1.4906,                0.64463,                0.59024,                0.59985,                0.33294,                 1.4507,                 1.4783,                 1.8757,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.0318,                 1.1754,                 1.4405,                0.66258,                 0.6439,                0.63933,                0.37501,                 1.3254,                 1.3484,                 1.7788,              0.0006932,              0.0006932,              0.0006932
                     36,                  1.063,                 1.2141,                 1.4648,                0.69342,                0.57374,                0.64495,                0.37785,                 1.3799,                 1.3844,                 1.7979,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0261,                 1.1623,                 1.4502,                0.68624,                    0.6,                0.62662,                0.36864,                 1.3475,                 1.3072,                 1.8046,               0.000614,               0.000614,               0.000614
                     38,                0.95532,                 1.1135,                 1.3909,                0.64192,                0.64711,                0.66035,                0.38382,                 1.3653,                 1.3225,                 1.8482,              0.0005744,              0.0005744,              0.0005744
                     39,                0.96116,                 1.1099,                 1.3695,                 0.7203,                0.66829,                0.68155,                0.41509,                 1.3107,                 1.2441,                 1.7528,              0.0005348,              0.0005348,              0.0005348
                     40,                0.96802,                 1.0822,                 1.4135,                0.72497,                0.60976,                0.66768,                0.40521,                 1.3359,                 1.3293,                 1.7961,              0.0004952,              0.0004952,              0.0004952
                     41,                0.92086,                 1.0148,                  1.415,                0.72543,                0.61463,                0.66065,                0.38436,                 1.3391,                 1.3415,                 1.8117,              0.0004556,              0.0004556,              0.0004556
