                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2642,                 1.7377,                 1.4284,                0.45207,                0.46993,                0.43627,                0.23957,                 1.5485,                 1.8596,                 1.6557,             0.00047586,             0.00047586,             0.00047586
                      2,                  1.325,                 1.6709,                 1.4884,                0.49213,                0.50606,                0.48925,                0.27119,                 1.5169,                 1.7795,                 1.6988,             0.00093648,             0.00093648,             0.00093648
                      3,                   1.32,                 1.6312,                 1.4752,                0.56582,                0.56959,                0.57236,                0.33767,                 1.4589,                 1.5284,                 1.6367,              0.0013814,              0.0013814,              0.0013814
                      4,                 1.2583,                  1.524,                 1.4349,                0.56641,                0.59621,                0.58713,                 0.3484,                 1.3534,                 1.4244,                 1.5206,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.2146,                 1.4396,                  1.404,                0.62064,                0.65745,                0.65037,                0.40842,                 1.2925,                 1.2503,                  1.462,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.1775,                 1.3735,                 1.3751,                0.67301,                0.67598,                0.70624,                0.44216,                 1.2619,                 1.1795,                 1.4356,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.1524,                 1.3251,                 1.3602,                0.67018,                0.66605,                0.69846,                0.44592,                 1.2377,                 1.1486,                 1.4065,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.1198,                 1.2684,                 1.3359,                0.68042,                0.69302,                0.72927,                 0.4619,                 1.2349,                 1.1143,                  1.413,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.0996,                 1.2244,                 1.3135,                 0.7181,                 0.6892,                0.74478,                0.49104,                 1.2016,                 1.0756,                 1.3771,               0.001264,               0.001264,               0.001264
                     10,                 1.0891,                 1.1922,                 1.3109,                0.72011,                0.71106,                 0.7661,                0.49576,                 1.1684,                 1.0349,                 1.3413,              0.0012404,              0.0012404,              0.0012404
                     11,                 1.0647,                 1.1468,                 1.2977,                 0.7557,                 0.7158,                0.78446,                0.51987,                 1.1433,                0.98385,                 1.3202,              0.0012168,              0.0012168,              0.0012168
                     12,                 1.0519,                 1.1338,                 1.2871,                0.74605,                0.72536,                0.79122,                0.53091,                 1.1359,                0.97304,                 1.3314,              0.0011932,              0.0011932,              0.0011932
